Data:
\x01 \xdc \x05 \xf3 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x80 \x4c \xc3 \x00 \x00 \xe7 \x00 \xe7 \x00 \xe7 \x00 \x90 \x01 \x90 \x01 \x91 \x01 \x00 \x00 \x00 \x00 \x00 \x00x \x00 \x4a \xc3 \x00 \x00 \xe6 \x00 \xe7 \x00 \xe6 \x00 \x8f \x01 \x8f \x01 \x8f \x01 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x80 \x04 \x00 \x01 \xc8 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x80 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \0a \xc0 \x00 \x00 \x00 \x01 \x00 \x00 \x00 \x00 \x00 \x00 \x01 \x00 \x00 \x00 \x00 \x00 \x00 \x00 \x00

Table:
Index	Length	Decimal	Expected Value
1		1		0		1
2		2		0		1500
3		2		1		24.3
4		2		0		0
5		2		0		0
6		2		0		0
7		2		0		0
8		2		0		0
9		2		0		0
10		2		0		0
11		2		0		0
12		2		3		32.768
13		1		0		0
14		2		3		32.768
15		1		0		0
16		2		3		32.768
17		1		0		0
18		2		3		32.768
19		1		0		0
20		4		3		49.996
21		2		0		231
22		2		0		231
23		2		0		231
24		2		0		400
25		2		0		400
26		2		0		401
27		2		0		0
28		2		0		0
29		2		0		0
30		2		0		120
31		4		3		49.994
32		2		0		230
33		2		0		231
34		2		0		230
35		2		0		399
36		2		0		399
37		2		0		399
38		2		0		0
39		2		0		0
40		2		0		0
41		2		3		0
42		1		0		0
43		4		0		0
44		4		0		0
45		2		3		0
46		1		0		0
47		2		1		3276.8
48		2		0		32768
49		2		0		32768
50		2		0		32768
51		2		0		4
52		1		0		1
53		2		0		200
54		2		3		0
55		2		3		0
56		4		0		0
57		2		2		0
58		2		2		0
59		2		0		0
60		2		0		32768
61		2		0		32768
62		2		3		32.768
63		2		0		32768
64		4		0		2147516416
65		4		0		32768
66		4		0		0
67		4		0		3221880832
68		2		0		0
69		2		0		256
70		1		0		0
71		4		0		0
72		4		0		256
73		4		0		0
74		2		0		0
